OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu086,0,0,0,9.70E-05,0,9.70E-05,0.101624,2,0.765595378,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacteriaceae_unclassified(100);
Otu089,0.000197,0,9.90E-05,6.40E-05,0,4.20E-05,0.188389,2,0.765595378,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);
Otu092,8.50E-05,0,8.50E-05,0,0,0,0.253322,2,0.765595378,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Anaerovibrio(100);
Otu100,0,0,0,6.40E-05,0,6.40E-05,0.217774,2,0.765595378,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Succiniclasticum(100);
Otu104,0,0,0,6.40E-05,0,6.40E-05,0.217774,2,0.765595378,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiales_unclassified(100);Burkholderiales_unclassified(100);
Otu109,0.000141,0,0.000112,3.20E-05,0,3.20E-05,0.22497,2,0.765595378,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);
Otu110,0.000732,3.00E-06,0.000639,0,0,0,0.237581,2,0.765595378,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);
Otu113,0,0,0,6.40E-05,0,4.20E-05,0.217774,2,0.765595378,Bacteria(100);Firmicutes(100);Bacilli(100);Bacilli_unclassified(100);Bacilli_unclassified(100);Bacilli_unclassified(100);
Otu117,0.000113,0,0.000113,0,0,0,0.128325,2,0.765595378,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetales_unclassified(100);Actinomycetales_unclassified(100);
Otu121,0.00324,3.20E-05,0.00199,6.40E-05,0,4.20E-05,0.099651,2,0.765595378,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
