OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu166,0,0,0,0.00015,0,0.000111,0.131192,2.000005,0.824307595,Bacteria(100);Chlamydiae(100);Chlamydiia(100);Chlamydiales(100);Chlamydiales_unclassified(100);Chlamydiales_unclassified(100);
Otu167,4.50E-05,0,4.50E-05,0,0,0,0.454545,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Variovorax(100);
Otu169,4.50E-05,0,4.50E-05,0,0,0,0.454545,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae_1(100);Bacillus(100);
Otu192,0,0,0,7.50E-05,0,7.50E-05,0.504122,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Planococcaceae(100);Planococcaceae_unclassified(100);
Otu200,0,0,0,7.50E-05,0,4.80E-05,0.504122,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Macrococcus(100);
Otu205,0,0,0,0.000113,0,0.000113,0.256183,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Acetobacteraceae(100);Acetobacter(100);
Otu246,0,0,0,0.000639,1.00E-06,0.000429,0.137448,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Methylophilales(100);Methylophilaceae(100);Methylophilus(100);
Otu266,0,0,0,0.000902,4.00E-06,0.000774,0.286463,2.000005,0.824307595,Bacteria(100);Bacteroidetes(100);Sphingobacteriia(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Sphingobacterium(100);
Otu273,0,0,0,0.000526,1.00E-06,0.000338,0.112687,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Brachymonas(100);
Otu283,0,0,0,7.50E-05,0,7.50E-05,0.504122,2.000005,0.824307595,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Histophilus(100);
Otu338,4.50E-05,0,4.50E-05,0,0,0,0.454545,2.000005,0.824307595,NA
Otu024,0.000676,1.00E-06,0.000483,0.001202,1.00E-06,0.000418,0.546552,2.000005,0.88177056,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Selenomonas(100);
Otu042,0.000135,0,0.000135,0.000301,0,0.000161,0.571418,2.000005,0.909757605,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Coriobacteriaceae_unclassified(100);
Otu089,9.00E-05,0,9.00E-05,3.80E-05,0,3.80E-05,0.59428,2.000005,0.921895897,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);
Otu129,9.00E-05,0,9.00E-05,3.80E-05,0,3.80E-05,0.59428,2.000005,0.921895897,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Sporobacter(100);
Otu031,0.00018,0,0.00011,0.000488,1.00E-06,0.000405,0.610567,2.000005,0.935172241,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrio(100);
Otu003,0.031057,0.0034,0.026077,0.012433,6.10E-05,0.003199,0.629149,2.000005,0.942840963,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu034,4.50E-05,0,4.50E-05,0.000113,0,0.000113,0.631158,2.000005,0.942840963,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu012,0.00018,0,0.00018,0.000413,0,0.000288,0.641701,2.000005,0.946900256,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
